Ethnicity,Citizen of Latvia,Non-citizen of Latvia,Alternative status of Latvia,Latvian stateless person,Latvian refugee,Temporary protection of Latvia,Other,Together,Year,Total_Population_Year,Percent_of_Year,Cluster_Category
NOGAAJ,0,3,0,0,0,0,0,3,2020,2083363,0.0001,Integrated Minorities
NORWEGIAN,15,0,0,0,0,0,267,282,2020,2083363,0.0135,Integrated Minorities
NETZ,1,0,0,0,0,0,1,2,2020,2083363,0.0001,Integrated Minorities
OSETINE,102,122,0,0,1,0,48,273,2020,2083363,0.0131,Integrated Minorities
PALESTINIAN ARAB,0,0,1,0,0,0,1,2,2020,2083363,0.0001,Integrated Minorities
PANAMANIAN,0,0,0,0,0,0,4,4,2020,2083363,0.0002,Integrated Minorities
PUNJABI,0,0,0,0,0,0,4,4,2020,2083363,0.0002,Integrated Minorities
PERSIAN,0,0,0,0,0,0,3,3,2020,2083363,0.0001,Integrated Minorities
PERUVIAN,0,0,0,0,0,0,18,18,2020,2083363,0.0009,Integrated Minorities
POLIS,33382,7617,0,3,0,0,1806,42808,2020,2083363,2.0548,Integrated Minorities
PORTUGAL,9,0,0,0,0,0,159,168,2020,2083363,0.0081,Integrated Minorities
PUNJAB,0,0,0,0,3,0,1,4,2020,2083363,0.0002,Integrated Minorities
ROMANIAN,217,228,0,0,0,0,327,772,2020,2083363,0.0371,Integrated Minorities
BALL,0,2,0,0,0,0,0,2,2020,2083363,0.0001,Integrated Minorities
SALVADORIANS,0,0,0,0,0,0,4,4,2020,2083363,0.0002,Integrated Minorities
SELKUP,0,1,0,0,0,0,0,1,2020,2083363,0.0,Integrated Minorities
SERBIAN,20,2,0,0,0,0,40,62,2020,2083363,0.003,Integrated Minorities
SINDS,0,0,0,0,0,0,1,1,2020,2083363,0.0,Integrated Minorities
SINGULAR,1,0,1,0,1,0,27,30,2020,2083363,0.0014,Integrated Minorities
SYRIAN,8,1,235,0,5,0,37,286,2020,2083363,0.0137,Integrated Minorities
SCOT,9,0,0,0,0,0,17,26,2020,2083363,0.0012,Integrated Minorities
SLOVAK,23,11,0,0,0,0,103,137,2020,2083363,0.0066,Integrated Minorities
SLOVENIAN,3,0,0,0,0,0,19,22,2020,2083363,0.0011,Integrated Minorities
FINN,185,79,0,0,0,0,498,762,2020,2083363,0.0366,Integrated Minorities
SPANIARD,18,7,1,0,0,0,374,400,2020,2083363,0.0192,Integrated Minorities
SHORE,1,3,0,0,0,0,1,5,2020,2083363,0.0002,Integrated Minorities
SWISS,12,2,0,0,0,0,87,101,2020,2083363,0.0048,Integrated Minorities
TABASARANS,4,1,0,0,0,0,1,6,2020,2083363,0.0003,Integrated Minorities
TAJIKISTAN,51,26,13,0,12,0,211,313,2020,2083363,0.015,Integrated Minorities
TALISH,0,0,0,0,0,0,1,1,2020,2083363,0.0,Integrated Minorities
TAMIL,0,0,0,0,0,0,2,2,2020,2083363,0.0001,Integrated Minorities
TATAR,827,961,0,0,0,0,551,2339,2020,2083363,0.1123,Integrated Minorities
TATS,9,5,0,0,0,0,1,15,2020,2083363,0.0007,Integrated Minorities
TELEUT,0,1,0,0,0,0,0,1,2020,2083363,0.0,Integrated Minorities
TUNISIAN,2,0,0,0,0,0,8,10,2020,2083363,0.0005,Integrated Minorities
TURKMONTH,19,15,0,0,0,0,71,105,2020,2083363,0.005,Integrated Minorities
TURK,43,3,0,0,20,0,433,499,2020,2083363,0.024,Integrated Minorities
APPROACHING,1,0,0,0,0,0,1,2,2020,2083363,0.0001,Integrated Minorities
UDMURT,45,137,0,1,0,0,38,221,2020,2083363,0.0106,Integrated Minorities
UDS,7,11,0,0,0,0,8,26,2020,2083363,0.0012,Integrated Minorities
UYGHUR,5,2,0,0,2,0,36,45,2020,2083363,0.0022,Integrated Minorities
UKRAINIAN,18108,21491,0,16,0,0,11235,50850,2020,2083363,2.4408,Integrated Minorities
HUNGARY,135,87,0,0,0,0,86,308,2020,2083363,0.0148,Integrated Minorities
URUGUAYAN,0,0,0,0,0,0,4,4,2020,2083363,0.0002,Integrated Minorities
UZBEK,92,109,6,1,2,0,1951,2161,2020,2083363,0.1037,Integrated Minorities
WALLOON,1,0,0,0,0,0,6,7,2020,2083363,0.0003,Integrated Minorities
GERMAN,2100,917,0,0,1,0,2235,5253,2020,2083363,0.2521,Integrated Minorities
WELSHMAN,0,0,0,0,0,0,6,6,2020,2083363,0.0003,Integrated Minorities
VENEER,4,0,0,0,0,0,17,21,2020,2083363,0.001,Integrated Minorities
VEPSS,1,3,0,0,0,0,2,6,2020,2083363,0.0003,Integrated Minorities
VIETNAMESE,8,0,0,0,0,0,391,399,2020,2083363,0.0192,Integrated Minorities
SWEDE,35,4,0,0,0,0,639,678,2020,2083363,0.0325,Integrated Minorities
ABAZ,2,3,0,0,0,0,0,5,2021,2069089,0.0002,Integrated Minorities
ABHAHAZ,12,13,0,0,0,0,8,33,2021,2069089,0.0016,Integrated Minorities
ADIGEAN,2,6,0,0,0,0,3,11,2021,2069089,0.0005,Integrated Minorities
AFGHAN,17,1,18,0,12,0,20,68,2021,2069089,0.0033,Integrated Minorities
AFRIKANDS,3,0,0,0,0,0,2,5,2021,2069089,0.0002,Integrated Minorities
AGULS,7,8,0,0,0,0,18,33,2021,2069089,0.0016,Integrated Minorities
ALBANON,1,0,0,0,0,0,19,20,2021,2069089,0.001,Integrated Minorities
ALTAIC,1,3,0,0,0,0,1,5,2021,2069089,0.0002,Integrated Minorities
ALGERIAN,5,0,0,0,0,0,18,23,2021,2069089,0.0011,Integrated Minorities
AMERICAN,78,0,0,0,0,0,414,492,2021,2069089,0.0238,Integrated Minorities
ENGLISHMAN,90,1,0,0,0,0,816,907,2021,2069089,0.0438,Integrated Minorities
ARABIC,12,6,25,0,9,0,19,71,2021,2069089,0.0034,Integrated Minorities
ARGENTINE,4,0,0,0,0,0,21,25,2021,2069089,0.0012,Integrated Minorities
ARMENIAN,1211,699,0,6,1,0,686,2603,2021,2069089,0.1258,Integrated Minorities
ASSYRIAN,5,2,0,0,0,0,6,13,2021,2069089,0.0006,Integrated Minorities
AUSTRALIAN,15,0,0,0,0,0,41,56,2021,2069089,0.0027,Integrated Minorities
AUSTRIAN,7,1,0,0,0,0,132,140,2021,2069089,0.0068,Integrated Minorities
CRASH,34,22,0,1,0,0,21,78,2021,2069089,0.0038,Integrated Minorities
AZERBAIJAN,643,657,1,2,6,0,783,2092,2021,2069089,0.1011,Integrated Minorities
BALKAR,0,2,0,0,0,0,8,10,2021,2069089,0.0005,Integrated Minorities
BELARUS,28143,28665,3,8,0,0,7041,63860,2021,2069089,3.0864,Integrated Minorities
BASHKIR,73,86,0,0,0,0,69,228,2021,2069089,0.011,Integrated Minorities
BALOCHISTAN,0,0,0,0,0,0,2,2,2021,2069089,0.0001,Integrated Minorities
BENGAL,0,0,2,0,0,0,11,13,2021,2069089,0.0006,Integrated Minorities
BENINIETIS,3,1,0,0,0,0,2,6,2021,2069089,0.0003,Integrated Minorities
BOLIVIAN,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
BOSNIAN,1,0,0,0,0,0,5,6,2021,2069089,0.0003,Integrated Minorities
BRAZILIAN,5,0,0,0,0,0,78,83,2021,2069089,0.004,Integrated Minorities
BULGARIAN,177,112,0,0,0,0,809,1098,2021,2069089,0.0531,Integrated Minorities
BURYAT,17,12,0,0,0,0,6,35,2021,2069089,0.0017,Integrated Minorities
CAHURS,3,2,0,1,0,0,3,9,2021,2069089,0.0004,Integrated Minorities
CHECHEN,84,33,2,1,0,0,72,192,2021,2069089,0.0093,Integrated Minorities
CZECH REPUBLIC,56,9,0,0,0,0,171,236,2021,2069089,0.0114,Integrated Minorities
CHURCHES,7,4,0,0,0,0,4,15,2021,2069089,0.0007,Integrated Minorities
GYPSY,6214,299,0,8,2,0,45,6568,2021,2069089,0.3174,Integrated Minorities
GYPSY (ROM),266,0,0,2,0,0,6,274,2021,2069089,0.0132,Integrated Minorities
CHILEAN,1,0,0,0,0,0,10,11,2021,2069089,0.0005,Integrated Minorities
CHUKCH,0,2,0,0,0,0,0,2,2021,2069089,0.0001,Integrated Minorities
CHUVASH,130,290,0,0,0,0,145,565,2021,2069089,0.0273,Integrated Minorities
DARGINS,16,6,0,0,0,0,3,25,2021,2069089,0.0012,Integrated Minorities
DANE,38,0,0,0,0,0,350,388,2021,2069089,0.0188,Integrated Minorities
DUNGANS,0,0,0,0,0,0,3,3,2021,2069089,0.0001,Integrated Minorities
JEW,5687,1782,0,2,2,0,614,8087,2021,2069089,0.3908,Integrated Minorities
ECUADORIAN,0,0,0,0,0,0,6,6,2021,2069089,0.0003,Integrated Minorities
EVENKS,2,1,0,0,0,0,0,3,2021,2069089,0.0001,Integrated Minorities
EVENS,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
EGYPTIAN,11,0,0,0,5,0,149,165,2021,2069089,0.008,Integrated Minorities
FARCE,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
FLEMISH,1,0,0,0,0,0,13,14,2021,2069089,0.0007,Integrated Minorities
FRENCHMAN,55,0,0,0,0,0,750,805,2021,2069089,0.0389,Integrated Minorities
GAGAUZ,36,37,0,0,0,0,18,91,2021,2069089,0.0044,Integrated Minorities
GREEK,195,69,0,1,0,0,134,399,2021,2069089,0.0193,Integrated Minorities
GEORGIA,520,293,0,2,1,0,468,1284,2021,2069089,0.0621,Integrated Minorities
HAKASIAN,1,2,0,0,0,0,5,8,2021,2069089,0.0004,Integrated Minorities
HANTS,0,4,0,0,0,0,1,5,2021,2069089,0.0002,Integrated Minorities
HINDUSTAN,1,0,0,0,0,0,1,2,2021,2069089,0.0001,Integrated Minorities
DUTCHMAN,22,3,0,0,0,0,186,211,2021,2069089,0.0102,Integrated Minorities
CROATIA,7,5,0,0,0,0,56,68,2021,2069089,0.0033,Integrated Minorities
HUTU,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
ESTONIAN,1184,265,0,2,0,0,668,2119,2021,2069089,0.1024,Integrated Minorities
INDIAN,20,0,0,0,0,0,2093,2113,2021,2069089,0.1021,Integrated Minorities
INGUSH,9,9,0,0,0,0,10,28,2021,2069089,0.0014,Integrated Minorities
IRAQI,1,0,6,0,12,0,61,80,2021,2069089,0.0039,Integrated Minorities
IRAN,3,1,6,1,11,0,64,86,2021,2069089,0.0042,Integrated Minorities
ICELANDIC,6,0,0,0,0,0,41,47,2021,2069089,0.0023,Integrated Minorities
ITALIAN,100,1,0,0,0,0,752,853,2021,2069089,0.0412,Integrated Minorities
IZOR,0,1,0,0,0,0,1,2,2021,2069089,0.0001,Integrated Minorities
IRISH,18,0,0,0,0,0,105,123,2021,2069089,0.0059,Integrated Minorities
YAKUTS,10,9,0,0,0,0,18,37,2021,2069089,0.0018,Integrated Minorities
JAPAN,3,0,0,0,0,0,41,44,2021,2069089,0.0021,Integrated Minorities
NEW ZEALANDER,3,0,0,0,0,0,19,22,2021,2069089,0.0011,Integrated Minorities
YEZID,1,1,0,0,0,0,2,4,2021,2069089,0.0002,Integrated Minorities
KABARD,10,9,0,0,0,0,7,26,2021,2069089,0.0013,Integrated Minorities
CALMISH,9,6,0,0,0,0,23,38,2021,2069089,0.0018,Integrated Minorities
CANUCK,12,0,0,0,0,0,91,103,2021,2069089,0.005,Integrated Minorities
KARAČAYAN,4,3,0,0,0,0,2,9,2021,2069089,0.0004,Integrated Minorities
CHARITY,3,1,0,0,0,0,0,4,2021,2069089,0.0002,Integrated Minorities
KARAKALPAKS,0,0,0,0,0,0,8,8,2021,2069089,0.0004,Integrated Minorities
KAREL,67,83,0,0,0,0,26,176,2021,2069089,0.0085,Integrated Minorities
KAZAKHS,87,77,3,0,1,0,442,610,2021,2069089,0.0295,Integrated Minorities
KYRGYZ,6,7,0,1,2,0,49,65,2021,2069089,0.0031,Integrated Minorities
COLOMBIAN,4,0,0,0,0,0,17,21,2021,2069089,0.001,Integrated Minorities
COMET,62,102,0,0,0,0,40,204,2021,2069089,0.0099,Integrated Minorities
KOMIET PERMIETIS,17,20,0,0,0,0,8,45,2021,2069089,0.0022,Integrated Minorities
KOREAN,86,47,0,0,0,0,143,276,2021,2069089,0.0133,Integrated Minorities
CORYAC,0,1,0,0,0,0,0,1,2021,2069089,0.0,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
COSTA RICAN,0,0,0,0,0,0,1,1,2021,2069089,0.0,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2021,2069089,0.0,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2021,2069089,0.0,Integrated Minorities
RUSSIAN,341340,136909,9,93,46,0,43738,522135,2021,2069089,25.235,Large Historical Minority
CRIMEAN TATAR,3,0,0,0,0,0,3,6,2021,2069089,0.0003,Integrated Minorities
KRIMCHAK,2,0,0,0,0,0,1,3,2021,2069089,0.0001,Integrated Minorities
CUBAN,16,1,0,0,0,0,24,41,2021,2069089,0.002,Integrated Minorities
COMIC,8,15,0,0,0,0,9,32,2021,2069089,0.0015,Integrated Minorities
KURDISH,4,0,73,0,13,0,10,100,2021,2069089,0.0048,Integrated Minorities
CHINESE,7,2,0,0,0,0,863,872,2021,2069089,0.0421,Integrated Minorities
LAX,18,22,0,0,0,0,6,46,2021,2069089,0.0022,Integrated Minorities
LAOTIAN,1,0,0,0,0,0,0,1,2021,2069089,0.0,Integrated Minorities
LATVIAN,1252662,470,0,1,0,0,1119,1254252,2021,2069089,60.6186,Latvians
LAZS,4,0,0,0,0,0,0,4,2021,2069089,0.0002,Integrated Minorities
LEZGIN,82,117,0,1,0,0,66,266,2021,2069089,0.0129,Integrated Minorities
LEBANESE,30,3,0,0,5,0,47,85,2021,2069089,0.0041,Integrated Minorities
LITHUANIAN,16410,5026,0,1,0,0,3483,24920,2021,2069089,1.2044,Integrated Minorities
LIVONIAN,153,0,0,0,0,0,0,153,2021,2069089,0.0074,Integrated Minorities
LIVONIAN (LIV),13,0,0,0,0,0,0,13,2021,2069089,0.0006,Integrated Minorities
LIBYAN ARAB,0,0,0,0,0,0,3,3,2021,2069089,0.0001,Integrated Minorities
LUXEMBOURGISH,0,0,0,0,0,0,7,7,2021,2069089,0.0003,Integrated Minorities
MACEDONIAN,3,0,0,0,0,0,12,15,2021,2069089,0.0007,Integrated Minorities
MALAYSIAN,1,0,0,0,0,0,8,9,2021,2069089,0.0004,Integrated Minorities
MALTESE,1,0,0,0,0,0,10,11,2021,2069089,0.0005,Integrated Minorities
MARIETIS,62,117,0,0,0,0,50,229,2021,2069089,0.0111,Integrated Minorities
MOROCCAN,0,0,0,0,0,0,25,25,2021,2069089,0.0012,Integrated Minorities
MEXICAN,6,0,0,0,0,0,35,41,2021,2069089,0.002,Integrated Minorities
MONTENEGRIN,3,1,0,0,0,0,2,6,2021,2069089,0.0003,Integrated Minorities
MOLDAVIA,669,708,0,2,0,0,433,1812,2021,2069089,0.0876,Integrated Minorities
MONGOLIAN,2,0,0,0,0,0,11,13,2021,2069089,0.0006,Integrated Minorities
MORTAR SITE,129,215,0,0,0,0,108,452,2021,2069089,0.0218,Integrated Minorities
NAGAIBAK,2,0,0,0,0,0,1,3,2021,2069089,0.0001,Integrated Minorities
UNSELECTED,48160,771,43,0,3,0,588,49565,2021,2069089,2.3955,Integrated Minorities
NEPALIAN,1,0,0,0,0,0,59,60,2021,2069089,0.0029,Integrated Minorities
UNKNOWN,1714,60,12,2,6,0,5281,7075,2021,2069089,0.3419,Integrated Minorities
NIGERIAN,1,0,0,0,0,0,31,32,2021,2069089,0.0015,Integrated Minorities
NOGAAJ,0,3,0,0,0,0,0,3,2021,2069089,0.0001,Integrated Minorities
NORWEGIAN,16,0,0,0,0,0,265,281,2021,2069089,0.0136,Integrated Minorities
NETZ,1,0,0,0,0,0,0,1,2021,2069089,0.0,Integrated Minorities
OSETINE,103,118,0,0,1,0,45,267,2021,2069089,0.0129,Integrated Minorities
PALESTINIAN ARAB,0,0,1,0,0,0,1,2,2021,2069089,0.0001,Integrated Minorities
PANAMANIAN,0,0,0,0,0,0,4,4,2021,2069089,0.0002,Integrated Minorities
PUNJABI,0,0,0,0,0,0,2,2,2021,2069089,0.0001,Integrated Minorities
PERSIAN,0,0,0,0,0,0,2,2,2021,2069089,0.0001,Integrated Minorities
PERUVIAN,0,0,0,0,0,0,18,18,2021,2069089,0.0009,Integrated Minorities
POLIS,32883,7351,0,3,0,0,1828,42065,2021,2069089,2.033,Integrated Minorities
PORTUGAL,11,0,0,0,0,0,164,175,2021,2069089,0.0085,Integrated Minorities
PUNJAB,0,0,0,0,3,0,1,4,2021,2069089,0.0002,Integrated Minorities
ROMANIAN,215,225,0,0,0,0,351,791,2021,2069089,0.0382,Integrated Minorities
BALL,0,2,0,0,0,0,1,3,2021,2069089,0.0001,Integrated Minorities
